,Sl.No,State,PC Name,Count of Elector,Poll(%),Count of Votes
412,30,Uttar Pradesh,Banda,1747425,59.7,1043256
413,31,Uttar Pradesh,Barabanki,1918491,67.2,1289258
414,32,Uttar Pradesh,Faizabad,1927459,59.14,1139882
415,33,Uttar Pradesh,Fatehpur,1938563,57.09,1106690
416,34,Uttar Pradesh,Gonda,1843121,51.62,951394
417,35,Uttar Pradesh,Hamirpur,1839761,60.6,1114874
418,36,Uttar Pradesh,Jalaun,2006161,56.18,1127112
419,37,Uttar Pradesh,Jhansi,2161221,63.86,1380214
420,38,Uttar Pradesh,Kaiserganj,1904726,55.68,1060576
421,39,Uttar Pradesh,Kaushambi,1909620,52.8,1008255
422,40,Uttar Pradesh,Lucknow,2172171,52.28,1135624
423,41,Uttar Pradesh,Mohanlalganj,2187232,62.88,1375372
424,42,Uttar Pradesh,Rae Bareli,1784314,58.12,1036997
425,43,West Bengal,Arambagh,1883266,82.62,1555882
426,44,West Bengal,Bangaon,1836374,81.04,1488209
427,45,West Bengal,Barrackpur,1508728,75.41,1137763
428,46,West Bengal,Hooghly,1858067,81.38,1512060
429,47,West Bengal,Howrah,1769184,71.73,1269079
430,48,West Bengal,Srerampur,1926645,76.44,1472793
431,49,West Bengal,Uluberia,1741438,79.78,1389316
